purch_id,cust_id,purch_date,product_id,quantity,unit_net_price
204795,54940,2017-12-13,1001,3,4.5
204841,54940,2017-12-26,1001,22,5.0
205088,54940,2017-12-11,1001,42,4.75
205612,54940,2017-12-23,1001,68,5.0
205852,54940,2017-12-10,1003,68,13.0
207535,54940,2017-12-08,1000,10,10.4
232252,68560,2017-12-10,1001,25,4.75
232878,68560,2017-12-13,1001,61,5.0
233675,68560,2017-12-17,1001,84,4.0
234966,68560,2017-12-24,1001,80,4.75
235160,68560,2017-12-11,1004,30,11.0
432921,84813,2017-12-18,1002,3,17.25
434673,84813,2017-12-22,1004,21,8.25
434853,84813,2017-12-14,1004,90,9.9
484824,85534,2017-12-19,1001,71,5.0
488055,91260,2017-12-17,1002,5,23.0
488842,91260,2017-12-01,1002,38,19.55
489188,91260,2017-12-14,1004,65,11.0
489464,91260,2017-12-31,1000,33,13.0
489992,91260,2017-12-03,1004,63,9.9
490352,91260,2017-12-10,1001,63,5.0
637200,24800,2017-12-29,1001,8,5.0
637375,24800,2017-12-23,1001,4,5.0
637964,24800,2017-12-24,1002,52,23.0
737123,3127,2017-12-27,1002,25,23.0
737941,3127,2017-12-27,1004,10,11.0
738472,3127,2017-12-30,1001,68,5.0
738559,3127,2017-12-31,1001,63,5.0
740529,8618,2017-12-25,1001,59,5.0
740602,8618,2017-12-08,1001,68,4.0
742091,8618,2017-12-18,1001,91,5.0
742226,8618,2017-12-07,1001,86,5.0
743004,8618,2017-12-26,1000,17,13.0
743559,8618,2017-12-26,1001,49,5.0
810735,48041,2017-12-29,1001,6,5.0
812437,48041,2017-12-23,1001,72,5.0
844523,14632,2017-12-16,1002,68,23.0
845475,14632,2017-12-01,1000,65,11.049999999999999
845511,14632,2017-12-31,1001,82,5.0
845842,14632,2017-12-04,1001,49,5.0
846858,14632,2017-12-04,1004,109,8.8
1160136,62073,2017-12-30,1003,81,12.35
1160596,62073,2017-12-17,1001,82,4.25
1161665,62073,2017-12-27,1001,50,4.5
1162185,62073,2017-12-26,1001,71,5.0
1390786,45527,2017-12-23,1001,90,5.0
1390922,45527,2017-12-16,1001,85,4.5
1391164,45527,2017-12-26,1004,83,11.0
1392002,45527,2017-12-02,1001,87,4.25
1392826,45527,2017-12-27,1003,33,11.700000000000001
1392974,45527,2017-12-27,1004,81,8.8
1393146,45527,2017-12-31,1001,54,3.75
1393488,45527,2017-12-12,1002,77,19.55
1393528,45527,2017-12-06,1000,54,10.4
1454930,56256,2017-12-29,1004,6,11.0
1455522,56256,2017-12-23,1003,51,11.049999999999999
1457597,56256,2017-12-14,1001,80,5.0
1457723,56256,2017-12-29,1003,51,12.35
1479781,37828,2017-12-26,1001,19,5.0
1482122,37828,2017-12-31,1000,56,9.75
1482891,37828,2017-12-24,1004,91,9.9
1488062,61115,2017-12-31,1002,1734,20.7
1489310,61115,2017-12-19,1000,102,10.4
1490205,61115,2017-12-16,1003,748,12.35
1490353,61115,2017-12-13,1002,1462,23.0
1561068,32229,2017-12-30,1004,43,11.0
1561470,32229,2017-12-13,1001,4,5.0
1562463,32229,2017-12-23,1000,83,13.0
1562554,32229,2017-12-05,1001,62,4.5
